ID,SMILES,AV_Bit,AV
coq_215,CCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CC\C4=C\C(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)C(=O)COC(C)=O,0,
coq_216,CC(C)(C)C#C\C=C\CN(C)Cc2cccc1ccccc12,0,
coq_217,CN1CC/C(CC1)=C3\c4ccccc4CCc2sccc23,0,
coq_218,O=C(O)c2cc(c(Oc1ccccc1)c(c2)N3CCCC3)S(N)(=O)=O,0,
coq_219,O=C1C(CCc3c1c2ccccc2n3C)Cn4ccnc4C,0,
coq_220,CC(C)C1=C(\C=C\C(O)CC(O)CC(O)=O)C(=NC(=N1)N(C)[S+](C)([O-])=O)C2=CC=C(F)C=C2,0,
coq_221,CC(=O)NCCC[S]([O-])(=O)=O,0,
coq_222,Clc1ccccc1C34OCC(C)N4CC(=O)Nc2ccc(Cl)cc23,0,
coq_223,CN(C)CCN1c3ccccc3S[C@H]([C@@H](OC(C)=O)C1=O)c2ccc(OC)cc2,0,
coq_224,Br.OC[C@H](c1ccccc1)C(=O)O[C@H]2C[C@@H]3N(C)[C@H](C2)[C@H]4O[C@@H]34,0,
